운동명,단위체중당에너지소비량,user_id,운동 여부
스키,6.0,57646,1
허리돌리기(야외운동기구),2.5,53619,0
걷기,4.5,99485,1
골프,4.8,91291,1
배구연습(일반적인),4.0,83057,1
시티드 니업,5.0,50668,1
배드민턴 랠리,4.5,5381,1
족구,5.5,78480,1
니킥,5.5,97026,1
파워요가,4.0,56037,1
세차,3.0,18438,0
에어로빅(고강도),7.3,2392,1
필라테스(기구),5.0,97684,1
복근운동(보통으로),3.8,72798,1
근력운동,8.0,20709,1
세차,3.0,18438,0
레그 레이즈,5.0,3958,1
에어로빅(중강도),6.5,27474,1
마이마운틴,5.5,87131,1
턱걸이(보통으로),5.0,15651,1
월볼샷,6.0,16028,1
스포츠댄스,5.5,67318,1
런닝머신(걷기),4.5,39281,1
배드민턴 랠리,4.5,5381,1
제자리뛰기,5.5,83780,1
웨이트운동(보통으로) - 전신,5.0,76397,1
번지피지오,5.0,52832,1
브릿지,3.5,63708,1
타이치,4.0,89578,1
공중걷기,3.5,83042,1
고정식자전거타기(30~50 Watts),3.5,5285,1
트위스트 런,5.0,33151,1
암워킹,6.0,71882,1
줄넘기(빠르게),9.0,66209,1
크런치(가볍게),3.0,56273,0
필라테스(기구),5.0,97684,1
산악자전거(격렬하게),14.0,33781,1
체스트 프레스,5.0,48737,1
볼륨댄스,5.5,94726,1
힙 어브덕션,5.0,35435,1
짐볼운동,3.8,43053,1
와일드 런지,5.5,68450,1
웨이트운동(격렬하게) - 전신,6.0,70173,1
골프,4.8,91291,1
고양이자세,3.5,13002,1
바벨 스쿼트,6.0,60377,1
파워요가,4.0,56037,1
라인댄스,7.8,31739,1
난타,3.8,93013,1
라인댄스,7.8,31739,1
산악자전거(보통으로),8.5,84714,1
골프,4.8,91291,1
스크린골프,4.0,24588,1
인라인스케이트,5.0,32375,1
레그 프레스,5.0,35237,1
국궁,4.3,72606,1
플라잉 요가,4.0,53147,1
덤벨 플라이,5.5,82911,1
킥 백,5.0,10923,1
천국의계단,8.0,27907,1
누워서 걷기,3.5,45319,1
줌바댄스,5.0,74909,1
아령들기,5.5,92477,1
렛 풀 다운,5.0,9213,1
폴댄스,5.5,83423,1
파워요가,4.0,56037,1
보디빌딩(격렬하게),6.0,76001,1
팔굽혀펴기(가볍게),3.0,70216,0
누워서 걷기,3.5,45319,1
실내자전거타기,7.0,11270,1
점프 스쿼트,6.0,24038,1
짐볼운동,3.8,43053,1
