운동명,단위체중당에너지소비량,user_id
스키,6.0,3316
허리돌리기(야외운동기구),2.5,55705
걷기,4.5,61707
골프,4.8,64353
배구연습(일반적인),4.0,10968
시티드 니업,5.0,50050
배드민턴 랠리,4.5,51161
족구,5.5,69236
니킥,5.5,97002
파워요가,4.0,43304
세차,3.0,12893
에어로빅(고강도),7.3,95071
필라테스(기구),5.0,51140
복근운동(보통으로),3.8,80722
근력운동,8.0,44211
세차,3.0,12893
레그 레이즈,5.0,86531
에어로빅(중강도),6.5,6185
마이마운틴,5.5,51593
턱걸이(보통으로),5.0,10439
월볼샷,6.0,23881
스포츠댄스,5.5,46432
런닝머신(걷기),4.5,37750
배드민턴 랠리,4.5,51161
제자리뛰기,5.5,82951
웨이트운동(보통으로) - 전신,5.0,54658
번지피지오,5.0,99204
브릿지,3.5,20391
타이치,4.0,10821
공중걷기,3.5,66729
고정식자전거타기(30~50 Watts),3.5,68553
트위스트 런,5.0,76759
암워킹,6.0,71892
줄넘기(빠르게),9.0,12901
크런치(가볍게),3.0,26239
필라테스(기구),5.0,51140
산악자전거(격렬하게),14.0,43370
체스트 프레스,5.0,96275
볼륨댄스,5.5,72949
힙 어브덕션,5.0,41586
짐볼운동,3.8,35783
와일드 런지,5.5,63117
웨이트운동(격렬하게) - 전신,6.0,7293
골프,4.8,64353
고양이자세,3.5,85912
바벨 스쿼트,6.0,67617
파워요가,4.0,43304
라인댄스,7.8,21637
난타,3.8,72932
라인댄스,7.8,21637
산악자전거(보통으로),8.5,29441
골프,4.8,64353
스크린골프,4.0,26503
인라인스케이트,5.0,38911
레그 프레스,5.0,24875
국궁,4.3,18571
플라잉 요가,4.0,62818
덤벨 플라이,5.5,72339
킥 백,5.0,23762
천국의계단,8.0,51008
누워서 걷기,3.5,82396
줌바댄스,5.0,40528
아령들기,5.5,39283
렛 풀 다운,5.0,91012
폴댄스,5.5,80573
파워요가,4.0,43304
보디빌딩(격렬하게),6.0,99103
팔굽혀펴기(가볍게),3.0,83500
누워서 걷기,3.5,82396
실내자전거타기,7.0,41944
점프 스쿼트,6.0,3308
짐볼운동,3.8,35783
사이드 레터럴 레이즈,5.0,41838
대청소,3.0,39091
다트,2.5,74137
농구슈팅 연습,4.5,23594
천국의계단,8.0,51008
제기차기,3.0,83531
트랙걷기,4.5,26154
벤트 오버 레터럴 레이즈,5.5,50081
트라이셉스 익스텐션,5.0,93868
승마(빠르게),5.8,54114
사이드 밴드,3.5,85997
점프 스쿼트,6.0,3308
발레(격렬하게),6.8,28919
앉아서 다리들기,2.5,20297
레그 레이즈,3.4,78879
고정식자전거타기(약하게),5.5,23904
케이블 크로스 오버,5.0,91501
재즈댄스,4.8,34696
웨이트운동(격렬하게) - 전신,6.0,7293
요가,2.5,59693
야구피칭,6.0,61785
라인댄스,7.8,21637
고전무용,6.0,28532
로드바이크,8.5,94071
플라잉 요가,4.0,62818
정구 단식경기(일반적인),7.0,81451
시티드 니업,5.0,50050
수영(평영),5.3,2139
렛풀다운,5.0,40286
버피테스트,83.0,49825
스텝밀,7.0,3881
해머 컬,5.0,76713
덤벨 플라이,5.5,72339
실내 스케이팅,7.0,80958
스텝퍼,5.0,2685
스플릿 스쿼트,5.0,575
배드민턴 시합,7.0,12605
마이마운틴,5.5,51593
덩키킥,7.0,58210
킥 백,5.0,23762
수리야 나마스까 요가,3.3,37580
슈퍼맨자세 ,5.0,33368
필라테스,3.0,3499
어시스트 풀업,5.0,14525
볼륨댄스,5.5,72949
15초인터벌트레이닝!,8.8,14784
런닝,7.0,62688
브릿지,3.5,20391
달리기/걷기,6.0,13378
백 익스텐션,3.5,7904
이클립스,7.0,19608
골프,4.8,64353
트래킹,5.0,54931
버피테스트,83.0,49825
타이치,4.0,10821
플랭크,3.8,24881
타이치,4.0,10821
108배,2.0,74376
루마니안 데드리프트,5.0,98775
태보,7.0,35166
바벨 숄더프레스,5.5,31721
국궁,4.3,18571
고정식자전거타기(90~100 Watts),6.8,16014
풋살,8.0,24538
모던댄스,4.8,83988
스크린골프,4.0,26503
포크댄스,7.8,51136
풀업(가볍게) - 상지(어깨),2.8,75167
양팔줄당기기(야외운동기구),2.5,69809
허리돌리기(야외운동기구),2.5,55705
SNPE,5.0,52076
산책,4.0,21763
(윈드)서핑,5.0,80852
레그 프레스,5.0,24875
런닝머신(걷기),4.5,37750
레그 레이즈,3.4,78879
윗몸일으키기(가볍게),2.8,63550
벽 스쿼트,5.0,37931
스키머신(보통으로),6.8,66346
마운팅클라이밍,7.0,75085
렛 풀 다운,5.0,91012
이두 컬,5.0,19054
크런치(보통으로),5.0,15414
(SUP)서핑,6.0,95299
프리테니스,7.0,12056
리버스 팩 덱 플라이,4.0,35409
에어로빅(고강도),7.3,95071
덤벨 플라이,5.5,72339
렛 풀 다운,5.0,91012
BMX 자전거타기,8.5,93403
스트레칭(가볍게),2.5,69703
커브스 30분 여성 순환운동,3.5,53537
패들보드,6.0,66126
홈트레이닝-유산소운동,7.0,47709
사이드 플랭크,3.8,70237
백 익스텐션,3.5,7904
달리기,7.0,43050
대청소,3.0,39091
보디빌딩(격렬하게),6.0,99103
음파진동기,2.5,36407
풀업(가볍게) - 상지(어깨),2.8,75167
덤벨 바디 로테이션,5.0,11052
복근운동(가볍게),2.8,78865
프론트 레이즈,5.0,52346
프론트 레이즈,5.0,52346
버티기,1.0,90276
워킹,4.5,92009
런지(보통으로),3.8,35969
레그 컬,5.0,34783
(윈드)서핑,5.0,80852
팔굽혀펴기(격렬하게),8.0,80833
파워요가,4.0,43304
하프마라톤,9.0,4107
근력운동(전신),5.5,45873
스쿼트 덤벨 프레스,7.0,35680
앉아서 다리들기,2.5,20297
니킥,5.5,97002
새천년체조,3.5,77232
바벨 숄더프레스,5.5,31721
맨발걷기,4.5,66786
발레(일반적인),5.0,92972
파워워킹,6.0,96352
스트레칭(가볍게),2.5,69703
달리기,7.0,43050
푸쉬업(보통으로),5.0,91096
축구연습,7.0,47389
요가,2.5,59693
렛 풀 다운,5.0,91012
트래킹,5.0,54931
걷기(산책수준),3.0,6016
서키트 트레이닝(격렬하게),8.0,45065
다트,2.5,74137
보디빌딩(보통으로),5.0,96752
프론트 레이즈,5.0,52346
아이스하키,8.0,14439
다이어트 댄스,4.5,95219
"건강증진 비디오 게임 보통으로(예, 위피트 등)",3.8,89067
스탠딩 카프 레이즈,5.0,2164
속보,6.0,88610
벤트 오버 레터럴 레이즈,5.5,50081
당구,2.5,10173
체스트 프레스,5.0,96275
계단내려가기,3.0,18787
아이스하키,8.0,14439
펙덱 플라이,5.5,27849
플로터킥,5.0,25309
풀업(보통으로) - 상지(어깨),3.8,2096
사이드 레터럴 레이즈,5.0,41838
걷기(산책수준),3.0,6016
발레(일반적인),5.0,92972
벤치딥스,3.0,58327
폴댄스,5.5,80573
빠르게 걷기,6.0,72120
테니스 단식경기,7.0,93862
배구연습(일반적인),4.0,10968
저항성운동(가볍게) - 전신,3.5,97755
권투펀칭,6.0,33956
짐볼운동,3.8,35783
줄넘기(천천히),8.0,10668
게이트볼,3.0,50222
헬스(보통으로),5.5,19791
"주짓수_시합, 격렬하게",10.3,88385
아쉬탕가 요가,5.0,19929
농구슈팅 연습,4.5,23594
백 스쿼트,6.0,5898
마이마운틴,5.5,51593
라켓볼 시합,10.0,89999
박스점프,5.5,76998
산악mtB,8.0,49016
스티프 레그 데드리프트,8.0,13936
(SUP)서핑,6.0,95299
노르딕워킹,6.0,75957
싸이클,7.0,88045
암워킹,6.0,71892
풀업(보통으로) - 상지(어깨),3.8,2096
고정식자전거타기(161~200 Watts),11.0,43090
15초인터벌트레이닝!,8.8,14784
런지(격렬하게),8.0,19028
15초인터벌트레이닝!,8.8,14784
런지(보통으로),3.8,35969
평행봉,5.5,61100
헬스(가볍게),5.0,38478
라켓볼연습,7.0,55030
수영(평영),5.3,2139
저항성운동(가볍게) - 전신,3.5,97755
마라톤,9.0,91790
인클라인 벤치 프레스,5.0,5658
오리발 수영,7.0,14624
데드 리프트,5.5,26708
백 스쿼트,6.0,5898
재즈댄스,4.8,34696
프롭테라피,3.8,77259
수상스키,6.0,51454
에어로빅(고강도),7.3,95071
승마(빠르게),5.8,54114
축구연습,7.0,47389
조정(로잉머신),4.8,33723
스티프 레그 데드리프트,8.0,13936
당구,2.5,10173
고정식자전거타기(보통으로),7.0,57687
배구연습(일반적인),4.0,10968
훌라후프,5.5,49206
런지(가볍게),2.8,67646
산악자전거 시합,16.0,95578
실내자전거타기,7.0,41944
공중걷기,3.5,66729
데드 리프트,5.5,26708
고정식자전거타기(101~160 Watts),8.8,40460
워킹,4.5,92009
런닝,7.0,62688
줄넘기(빠르게),9.0,12901
보디빌딩(격렬하게),6.0,99103
스키,6.0,3316
파워워킹,6.0,96352
탁구랠리,4.0,89441
